Description1,Description2,ItemNo,box,Maxqty
WATCH,LEATHER,DW00600144,Type-1,100
WATCH,LEATHER,DW00600146,Type-1,100
WATCH,LEATHER,DW00600147,Type-1,100
WATCH,LEATHER,DW00600165,Type-1,100
WATCH,LEATHER,DW00600166,Type-1,100
WATCH,LEATHER,DW00600167,Type-1,100
WATCH,LEATHER,DW00600168,Type-1,100
WATCH,LEATHER,DW00600169,Type-1,100
WATCH,LEATHER,DW00600171,Type-1,100
WATCH,LEATHER,DW00600172,Type-1,100
WATCH,LEATHER,DW00600173,Type-1,100
WATCH,LEATHER,DW00600174,Type-1,100
WATCH,LEATHER,DW00600175,Type-1,100
WATCH,LEATHER,DW00600176,Type-1,100
WATCH,LEATHER,DW00600178,Type-1,100
WATCH,LEATHER,DW00600179,Type-1,100
WATCH,LEATHER,DW00600180,Type-1,100
WATCH,LEATHER,DW00600181,Type-1,100
WATCH,LEATHER,DW00600182,Type-1,100
WATCH,LEATHER,DW00600184,Type-1,100
WATCH,LEATHER,DW00600185,Type-1,100
WATCH,LEATHER,DW00600186,Type-1,100
WATCH,LEATHER,DW00600187,Type-1,100
WATCH,LEATHER,DW00600188,Type-1,100
WATCH,LEATHER,DW00600189,Type-1,100
WATCH,LEATHER,DW00600190,Type-1,100
WATCH,LEATHER,DW00600221,Type-1,100
WATCH,LEATHER,DW00600222,Type-1,100
WATCH,LEATHER,DW00600223,Type-1,100
WATCH,LEATHER,DW00600224,Type-1,100
WATCH,LEATHER,DW00600225,Type-1,100
WATCH,LEATHER,DW00600226,Type-1,100
WATCH,LEATHER,DW00600227,Type-1,100
WATCH,LEATHER,DW00600228,Type-1,100
WATCH,LEATHER,DW00600229,Type-1,100
WATCH,LEATHER,DW00600230,Type-1,100
WATCH,LEATHER,DW00600231,Type-1,100
WATCH,LEATHER,DW00600233,Type-1,100
WATCH,LEATHER,DW00600234,Type-1,100
WATCH,LEATHER,DW00600235,Type-1,100
WATCH,LEATHER,DW00600236,Type-1,100
WATCH,LEATHER,DW00600237,Type-1,100
WATCH,LEATHER,DW00600238,Type-1,100
WATCH,LEATHER,DW00600239,Type-1,100
WATCH,LEATHER,DW00600240,Type-1,100
WATCH,LEATHER,DW00600241,Type-1,100
WATCH,LEATHER,DW00600242,Type-1,100
WATCH,LEATHER,DW00600243,Type-1,100
WATCH,LEATHER,DW00600244,Type-1,100
WATCH,LEATHER,DW00600249,Type-1,100
WATCH,LEATHER,DW00600250,Type-1,100
WATCH,LEATHER,DW00600283,Type-1,100
WATCH,LEATHER,DW00600285,Type-1,100
WATCH,LEATHER,DW00600286,Type-1,100
WATCH,LINK,DW00600203,Type-1,100
WATCH,LINK,DW00600204,Type-1,100
WATCH,LINK,DW00600205,Type-1,100
WATCH,LINK,DW00600206,Type-1,100
WATCH,LINK,DW00600207,Type-1,100
WATCH,LINK,DW00600208,Type-1,100
WATCH,LINK,DW00600209,Type-1,100
WATCH,LINK,DW00600210,Type-1,100
WATCH,LINK,DW00600211,Type-1,100
WATCH,LINK,DW00600212,Type-1,100
WATCH,LINK,DW00600213,Type-1,100
WATCH,LINK,DW00600214,Type-1,100
WATCH,LINK,DW00600358,Type-1,100
WATCH,LINK,DW00600359,Type-1,100
WATCH,LINK,DW00600369,Type-1,100
WATCH,LINK,DW00600370,Type-1,100
WATCH,LINK,DW00600401,Type-1,100
WATCH,LINK,DW00600402,Type-1,100
WATCH,LINK,DW00600403,Type-1,100
WATCH,LINK,DW00600420,Type-1,100
WATCH,LINK,DW00600421,Type-1,100
WATCH,LINK,DW00600427,Type-1,100
WATCH,MESH,DW00600161,Type-1,100
WATCH,MESH,DW00600162,Type-1,100
WATCH,MESH,DW00600163,Type-1,100
WATCH,MESH,DW00600164,Type-1,100
WATCH,MESH,DW00600201,Type-1,100
WATCH,MESH,DW00600202,Type-1,100
WATCH,MESH,DW00600217,Type-1,100
WATCH,MESH,DW00600218,Type-1,100
WATCH,MESH,DW00600219,Type-1,100
WATCH,MESH,DW00600220,Type-1,100
WATCH,MESH,DW00600245,Type-1,100
WATCH,MESH,DW00600246,Type-1,100
WATCH,MESH,DW00600303,Type-1,100
WATCH,MESH,DW00600304,Type-1,100
WATCH,MESH,DW00600305,Type-1,100
WATCH,MESH,DW00600306,Type-1,100
WATCH,MESH,DW00600307,Type-1,100
WATCH,MESH,DW00600308,Type-1,100
WATCH,MESH,DW00600345,Type-1,100
WATCH,MESH,DW00600346,Type-1,100
WATCH,MESH,DW00600347,Type-1,100
WATCH,MESH,DW00600348,Type-1,100
WATCH,MESH,DW00600349,Type-1,100
WATCH,MESH,DW00600350,Type-1,100
WATCH,MESH,DW00600367,Type-1,100
WATCH,MESH,DW00600368,Type-1,100
WATCH,NATO,DW00100015,Type-1,100
WATCH,NATO,DW00100072,Type-1,100
WATCH,NATO,DW00100074,Type-1,100
WATCH,NATO,DW00600001,Type-1,100
WATCH,NATO,DW00600002,Type-1,100
WATCH,NATO,DW00600003,Type-1,100
WATCH,NATO,DW00600004,Type-1,100
WATCH,NATO,DW00600005,Type-1,100
WATCH,NATO,DW00600015,Type-1,100
WATCH,NATO,DW00600016,Type-1,100
WATCH,NATO,DW00600017,Type-1,100
WATCH,NATO,DW00600018,Type-1,100
WATCH,NATO,DW00600029,Type-1,100
WATCH,NATO,DW00600030,Type-1,100
WATCH,NATO,DW00600031,Type-1,100
WATCH,NATO,DW00600032,Type-1,100
WATCH,NATO,DW00600033,Type-1,100
WATCH,NATO,DW00600034,Type-1,100
WATCH,NATO,DW00600046,Type-1,100
WATCH,NATO,DW00600047,Type-1,100
WATCH,NATO,DW00600048,Type-1,100
WATCH,NATO,DW00600049,Type-1,100
WATCH,NATO,DW00600050,Type-1,100
WATCH,NATO,DW00600051,Type-1,100
WATCH,NATO,DW00600148,Type-1,100
WATCH,NATO,DW00600149,Type-1,100
WATCH,NATO,DW00600150,Type-1,100
WATCH,NATO,DW00600151,Type-1,100
WATCH,NATO,DW00600215,Type-1,100
WATCH,NATO,DW00600216,Type-1,100
WATCH,NATO,DW00600247,Type-1,100
WATCH,NATO,DW00600248,Type-1,100
WATCH,NATO,DW00600252,Type-1,100
WATCH,NATO,DW00600253,Type-1,100
WATCH,NATO,DW00600254,Type-1,100
WATCH,NATO,DW00600257,Type-1,100
WATCH,NATO,DW00600258,Type-1,100
WATCH,NATO,DW00600259,Type-1,100
WATCH,NATO,DW00600260,Type-1,100
WATCH,NATO,DW00600267,Type-1,100
WATCH,NATO,DW00600269,Type-1,100
WATCH,NATO,DW00600270,Type-1,100
WATCH,NATO,DW00600271,Type-1,100
WATCH,NATO,DW00600272,Type-1,100
WATCH,NATO,DW00600273,Type-1,100
WATCH,NATO,DW00600275,Type-1,100
WATCH,NATO,DW00600276,Type-1,100
WATCH,NATO,DW00600277,Type-1,100
WATCH,NATO,DW00600278,Type-1,100
WATCH,NATO,DW00600279,Type-1,100
WATCH,NATO,DW00600280,Type-1,100
WATCH,NATO,DW00600281,Type-1,100
WATCH,NATO,DW00600282,Type-1,100
WATCH,NATO,DW00600291,Type-1,100
WATCH,NATO,DW00600292,Type-1,100
WATCH,NATO,DW00600294,Type-1,100
WATCH,NATO,DW00600309,Type-1,100
WATCH,NATO,DW00600310,Type-1,100
WATCH,NATO,DW00600311,Type-1,100
WATCH,NATO,DW00600312,Type-1,100
WATCH,NATO,DW00600313,Type-1,100
WATCH,NATO,DW00600314,Type-1,100
WATCH,NATO,DW00600317,Type-1,100
WATCH,NATO,DW00600318,Type-1,100
WATCH,NATO,DW00600319,Type-1,100
WATCH,NATO,DW00600320,Type-1,100
WATCH,NATO,DW00600360,Type-1,100
WATCH,RUBBER,DW00600425,Type-1,100
WATCH,RUBBER,DW00600426,Type-1,100
WATCH,RUBBER,DW00600436,Type-1,100
BRACELET,CHAIN BRACELET,DW00400160,Type-1,600
BRACELET,CHAIN BRACELET,DW00400161,Type-1,600
BRACELET,CHAIN BRACELET,DW00400162,Type-1,600
BRACELET,CHAIN BRACELET,DW00400163,Type-1,600
BRACELET,CHAIN BRACELET,DW00400164,Type-1,600
BRACELET,CHAIN BRACELET,DW00400165,Type-1,600
BRACELET,CHAIN BRACELET,DW00400168,Type-1,600
BRACELET,CHAIN BRACELET,DW00400169,Type-1,600
NECKLACE,NECKLACE,DW00400166,Type-1,600
NECKLACE,NECKLACE,DW00400167,Type-1,600
WATCH,LINK,DW00600341,Type-1,80
WATCH,LINK,DW00600342,Type-1,80
WATCH,LINK,DW00600343,Type-1,80
WATCH,LINK,DW00600344,Type-1,80
BRACELET,BRACELET,DW00400140,Type-2A,24
BRACELET,BRACELET,DW00400141,Type-2A,600
BRACELET,BRACELET,DW00400142,Type-2A,600
BRACELET,BRACELET,DW00400143,Type-2A,600
BRACELET,BRACELET,DW00400144,Type-2A,600
BRACELET,BRACELET,DW00400145,Type-2A,24
BRACELET,BRACELET,DW00400005,Type-2A,200
BRACELET,BRACELET,DW00400006,Type-2A,200
BRACELET,BRACELET,DW00400007,Type-2A,200
BRACELET,BRACELET,DW00400008,Type-2A,200
BRACELET,BRACELET,DW00400009,Type-2A,200
BRACELET,BRACELET,DW00400010,Type-2A,200
BRACELET,BRACELET,DW00400011,Type-2A,200
BRACELET,BRACELET,DW00400012,Type-2A,200
BRACELET,BRACELET,DW00400067,Type-2A,200
BRACELET,BRACELET,DW00400069,Type-2A,200
EARRING,EARRING,DW00400146,Type-2B,500
EARRING,EARRING,DW00400147,Type-2B,500
EARRING,EARRING,DW00400148,Type-2B,500
EARRING,EARRING,DW00400151,Type-2B,500
EARRING,EARRING,DW00400152,Type-2B,500
EARRING,EARRING,DW00400179,Type-2B,500
EYEWEAR,SUNGLASSES,DW01100001,Type-2B,80
EYEWEAR,SUNGLASSES,DW01100002,Type-2B,80
EYEWEAR,SUNGLASSES,DW01100003,Type-2B,80
EYEWEAR,SUNGLASSES,DW01100004,Type-2B,80
NECKLACE,NECKLACE,DW00400153,Type-2B,500
NECKLACE,NECKLACE,DW00400156,Type-2B,500
NECKLACE,NECKLACE,DW00400157,Type-2B,500
NECKLACE,NECKLACE,DW00400158,Type-2B,500
NECKLACE,NECKLACE,DW00400159,Type-2B,500
NECKLACE,NECKLACE,DW00400180,Type-2B,500
RING,RING,DW00400015,Type-2B,500
RING,RING,DW00400016,Type-2B,500
RING,RING,DW00400017,Type-2B,500
RING,RING,DW00400018,Type-2B,500
RING,RING,DW00400019,Type-2B,500
RING,RING,DW00400020,Type-2B,500
RING,RING,DW00400021,Type-2B,500
RING,RING,DW00400022,Type-2B,500
RING,RING,DW00400023,Type-2B,500
RING,RING,DW00400024,Type-2B,500
RING,RING,DW00400025,Type-2B,500
RING,RING,DW00400026,Type-2B,500
RING,RING,DW00400027,Type-2B,500
RING,RING,DW00400028,Type-2B,500
RING,RING,DW00400029,Type-2B,500
RING,RING,DW00400030,Type-2B,500
RING,RING,DW00400031,Type-2B,500
RING,RING,DW00400032,Type-2B,500
RING,RING,DW00400033,Type-2B,500
RING,RING,DW00400034,Type-2B,500
RING,RING,DW00400035,Type-2B,500
RING,RING,DW00400036,Type-2B,500
RING,RING,DW00400037,Type-2B,500
RING,RING,DW00400038,Type-2B,500
RING,RING,DW00400039,Type-2B,500
RING,RING,DW00400040,Type-2B,500
RING,RING,DW00400041,Type-2B,500
RING,RING,DW00400042,Type-2B,500
RING,RING,DW00400043,Type-2B,500
RING,RING,DW00400044,Type-2B,500
RING,RING,DW00400045,Type-2B,500
RING,RING,DW00400046,Type-2B,500
RING,RING,DW00400047,Type-2B,500
RING,RING,DW00400048,Type-2B,500
RING,RING,DW00400049,Type-2B,500
RING,RING,DW00400050,Type-2B,500
RING,RING,DW00400051,Type-2B,500
RING,RING,DW00400052,Type-2B,500
RING,RING,DW00400053,Type-2B,500
RING,RING,DW00400054,Type-2B,500
RING,RING,DW00400055,Type-2B,500
RING,RING,DW00400056,Type-2B,500
RING,RING,DW00400057,Type-2B,500
RING,RING,DW00400058,Type-2B,500
RING,RING,DW00400059,Type-2B,500
RING,RING,DW00400060,Type-2B,500
RING,RING,DW00400061,Type-2B,500
RING,RING,DW00400062,Type-2B,500
RING,RING,DW00400063,Type-2B,500
RING,RING,DW00400064,Type-2B,500
RING,RING,DW00400065,Type-2B,500
RING,RING,DW00400066,Type-2B,500
RING,RING,DW00400076,Type-2B,500
RING,RING,DW00400077,Type-2B,500
RING,RING,DW00400078,Type-2B,500
RING,RING,DW00400079,Type-2B,500
RING,RING,DW00400080,Type-2B,500
RING,RING,DW00400081,Type-2B,500
RING,RING,DW00400082,Type-2B,500
RING,RING,DW00400083,Type-2B,500
RING,RING,DW00400084,Type-2B,500
RING,RING,DW00400085,Type-2B,500
RING,RING,DW00400086,Type-2B,500
RING,RING,DW00400087,Type-2B,500
RING,RING,DW00400088,Type-2B,500
RING,RING,DW00400089,Type-2B,500
RING,RING,DW00400090,Type-2B,500
RING,RING,DW00400091,Type-2B,500
RING,RING,DW00400092,Type-2B,500
RING,RING,DW00400093,Type-2B,500
RING,RING,DW00400094,Type-2B,500
RING,RING,DW00400095,Type-2B,500
RING,RING,DW00400096,Type-2B,500
RING,RING,DW00400097,Type-2B,500
RING,RING,DW00400098,Type-2B,500
RING,RING,DW00400099,Type-2B,500
RING,RING,DW00400100,Type-2B,500
RING,RING,DW00400101,Type-2B,500
RING,RING,DW00400102,Type-2B,500
RING,RING,DW00400103,Type-2B,500
RING,RING,DW00400104,Type-2B,500
RING,RING,DW00400105,Type-2B,500
RING,RING,DW00400106,Type-2B,500
RING,RING,DW00400107,Type-2B,500
RING,RING,DW00400108,Type-2B,500
RING,RING,DW00400109,Type-2B,500
RING,RING,DW00400110,Type-2B,500
RING,RING,DW00400111,Type-2B,500
RING,RING,DW00400112,Type-2B,500
RING,RING,DW00400113,Type-2B,500
RING,RING,DW00400114,Type-2B,500
RING,RING,DW00400115,Type-2B,500
RING,RING,DW00400116,Type-2B,500
RING,RING,DW00400117,Type-2B,500
RING,RING,DW00400118,Type-2B,500
RING,RING,DW00400119,Type-2B,500
RING,RING,DW00400120,Type-2B,500
RING,RING,DW00400121,Type-2B,500
RING,RING,DW00400122,Type-2B,500
RING,RING,DW00400123,Type-2B,500
RING,RING,DW00400124,Type-2B,500
RING,RING,DW00400125,Type-2B,500
RING,RING,DW00400126,Type-2B,500
RING,RING,DW00400127,Type-2B,500
RING,RING,DW00400128,Type-2B,500
RING,RING,DW00400129,Type-2B,500
RING,RING,DW00400130,Type-2B,500
RING,RING,DW00400131,Type-2B,500
RING,RING,DW00400132,Type-2B,500
RING,RING,DW00400133,Type-2B,500
RING,RING,DW00400134,Type-2B,500
RING,RING,DW00400135,Type-2B,500
RING,RING,DW00400136,Type-2B,500
RING,RING,DW00400137,Type-2B,500
RING,RING,DW00400138,Type-2B,500
RING,RING,DW00400139,Type-2B,500
RING,RING,DW00400181,Type-2B,500
RING,RING,DW00400182,Type-2B,500
RING,RING,DW00400183,Type-2B,500
RING,RING,DW00400184,Type-2B,500
RING,RING,DW00400185,Type-2B,500
RING,RING,DW00400186,Type-2B,500
RING,RING,DW00400187,Type-2B,500
STRAP,NATO,DW00200001,Type-2B,400
STRAP,NATO,DW00200002,Type-2B,400
STRAP,NATO,DW00200003,Type-2B,400
STRAP,NATO,DW00200004,Type-2B,400
STRAP,NATO,DW00200005,Type-2B,400
STRAP,NATO,DW00200015,Type-2B,400
STRAP,NATO,DW00200016,Type-2B,400
STRAP,NATO,DW00200017,Type-2B,400
STRAP,NATO,DW00200018,Type-2B,400
STRAP,NATO,DW00200019,Type-2B,400
STRAP,NATO,DW00200029,Type-2B,400
STRAP,NATO,DW00200030,Type-2B,400
STRAP,NATO,DW00200031,Type-2B,400
STRAP,NATO,DW00200032,Type-2B,400
STRAP,NATO,DW00200033,Type-2B,400
STRAP,NATO,DW00200034,Type-2B,400
STRAP,NATO,DW00200046,Type-2B,400
STRAP,NATO,DW00200047,Type-2B,400
STRAP,NATO,DW00200048,Type-2B,400
STRAP,NATO,DW00200049,Type-2B,400
STRAP,NATO,DW00200050,Type-2B,400
STRAP,NATO,DW00200051,Type-2B,400
STRAP,NATO,DW00200064,Type-2B,400
STRAP,NATO,DW00200065,Type-2B,400
STRAP,NATO,DW00200066,Type-2B,400
STRAP,NATO,DW00200072,Type-2B,400
STRAP,NATO,DW00200073,Type-2B,400
STRAP,NATO,DW00200074,Type-2B,400
STRAP,NATO,DW00200077,Type-2B,400
STRAP,NATO,DW00200078,Type-2B,400
STRAP,NATO,DW00200081,Type-2B,400
STRAP,NATO,DW00200082,Type-2B,400
STRAP,NATO,DW00200135,Type-2B,400
STRAP,NATO,DW00200136,Type-2B,400
STRAP,NATO,DW00200137,Type-2B,400
STRAP,NATO,DW00200138,Type-2B,400
STRAP,NATO,DW00200166,Type-2B,400
STRAP,NATO,DW00200167,Type-2B,400
STRAP,NATO,DW00200168,Type-2B,400
STRAP,NATO,DW00200171,Type-2B,400
STRAP,NATO,DW00200172,Type-2B,400
STRAP,NATO,DW00200173,Type-2B,400
STRAP,NATO,DW00200178,Type-2B,400
STRAP,NATO,DW00200179,Type-2B,400
STRAP,NATO,DW00200195,Type-2B,400
STRAP,NATO,DW00200196,Type-2B,400
STRAP,NATO,DW00200207,Type-2B,400
STRAP,NATO,DW00200208,Type-2B,400
STRAP,NATO,DW00200209,Type-2B,400
STRAP,NATO,DW00200210,Type-2B,400
STRAP,NATO,DW00200211,Type-2B,400
STRAP,NATO,DW00200212,Type-2B,400
STRAP,NATO,DW00200213,Type-2B,400
STRAP,NATO,DW00200214,Type-2B,400
STRAP,NATO,DW00200223,Type-2B,400
STRAP,NATO,DW00200225,Type-2B,400
STRAP,NATO,DW00200227,Type-2B,400
STRAP,NATO,DW00200238,Type-2B,400
STRAP,NATO,DW00200239,Type-2B,400
STRAP,NATO,DW00200240,Type-2B,400
STRAP,NATO,DW00200241,Type-2B,400
STRAP,NATO,DW00200242,Type-2B,400
STRAP,NATO,DW00200243,Type-2B,400
STRAP,NATO,DW00200245,Type-2B,400
STRAP,NATO,DW00200247,Type-2B,400
